rank,mine_id,mine_name,state,status,mine_type,operator,primary_sic,employees,estimated_annual_production_mt,production_factor_mt_per_employee,confidence_level,longitude,latitude,metal,verification_method,verification_notes
1,1202507,CIMBAR-MV,IN,Active,Surface,CIMBAR Performance Minerals,Talc,42.0,210000.0,5000,medium,-87.874926,37.927404,barite,controlled_keyword,Barium sulfate mining for drilling mud
2,4103461,CIMBAR Resources Inc.,TX,Active,Facility,CIMBAR Resources Inc.,Pigment Minerals,36.0,180000.0,5000,medium,-97.393889,27.826667,barite,controlled_keyword,Barium sulfate mining for drilling mud
3,4104038,Houston Plant,TX,Active,Facility,Cimbar Resources Inc.,Barite Barium Ore,35.0,175000.0,5000,medium,-95.185,29.752778,barite,controlled_keyword,Barium sulfate mining for drilling mud
4,3304799,WELLSVILLE FACILITY,OH,Active,Facility,"Cimbar Resources, Inc",Barite Barium Ore,33.0,165000.0,5000,medium,-80.6675,40.591111,barite,controlled_keyword,Barium sulfate mining for drilling mud
5,900245,New Riverside Ochre Company Incorporated,GA,Active,Surface,New Riverside Ochre Company Incorporated,Barite Barium Ore,29.0,145000.0,5000,medium,-84.769722,34.159167,barite,controlled_keyword,Barium sulfate mining for drilling mud
6,1601032,Lake Charles Grinding Plant,LA,Active,Facility,"Halliburton Energy Services, Inc.",Barite Barium Ore,25.0,125000.0,5000,medium,-93.304444,30.197778,barite,controlled_keyword,Barium sulfate mining for drilling mud
7,1601302,New Iberia Plant ,LA,Active,Facility,"Cimbar Resources, Inc",Barite Barium Ore,22.0,110000.0,5000,medium,-91.836389,29.945556,barite,controlled_keyword,Barium sulfate mining for drilling mud
8,4003183,Dyersburg Plant,TN,Active,Facility,"Cimbar Resources, Inc",Barite Barium Ore,18.0,90000.0,5000,medium,-89.345278,36.052222,barite,controlled_keyword,Barium sulfate mining for drilling mud
9,1600825,AMELIA BARITE PLANT,LA,Active,Facility,M-I L L C,Barite Barium Ore,16.0,80000.0,5000,medium,-91.117778,29.6575,barite,controlled_keyword,Barium sulfate mining for drilling mud
10,4104449,Houston Plant,TX,Active,Facility,"Cimbar Resources, Inc.",Barite Barium Ore,16.0,80000.0,5000,medium,-95.141111,29.761667,barite,controlled_keyword,Barium sulfate mining for drilling mud
11,2602735,Rossi Crusher,NV,Active,Surface,N.A. Degerstrom,Barite Barium Ore,15.0,75000.0,5000,medium,-116.425278,41.074167,barite,controlled_keyword,Barium sulfate mining for drilling mud
12,2600828,Battle Mountain Grinding Plant,NV,Active,Facility,M-I Swaco- A Schlumberger Company,Barite Barium Ore,13.0,65000.0,5000,medium,-116.940833,40.648611,barite,controlled_keyword,Barium sulfate mining for drilling mud
13,2602724,DMI Osino Barite Mill,NV,Active,Facility,"Drilling Minerals Industries, LLC",Barite Barium Ore,12.0,60000.0,5000,medium,-115.707222,40.891944,barite,controlled_keyword,Barium sulfate mining for drilling mud
14,4104010,CORPUS CHRISTI GRINDING PLANT,TX,Active,Facility,Halliburton Energy Services,Barite Barium Ore,12.0,60000.0,5000,medium,-97.406389,27.821667,barite,controlled_keyword,Barium sulfate mining for drilling mud
15,4103112,CIMBAR Resources Inc.,TX,Active,Facility,CIMBAR Resource Inc.,Barite Barium Ore,10.0,50000.0,5000,medium,-97.522778,27.788611,barite,controlled_keyword,Barium sulfate mining for drilling mud
16,1601504,Larose Grinding Plant,LA,Active,Facility,Halliburton Energy Services Inc,Barite Barium Ore,9.0,45000.0,5000,medium,-90.367222,29.568611,barite,controlled_keyword,Barium sulfate mining for drilling mud
17,3304798,Marietta Plant,OH,Active,Surface,CIMBAR Resources Inc,Barite Barium Ore,8.0,40000.0,5000,medium,-81.546667,39.354167,barite,controlled_keyword,Barium sulfate mining for drilling mud
18,4104002,Corpus Christi Plant,TX,Active,Facility,"Cimbar Resources, Inc.",Barite Barium Ore,8.0,40000.0,5000,medium,-97.406389,27.821667,barite,controlled_keyword,Barium sulfate mining for drilling mud
19,2602239,Rossi Jig Plant ,NV,Active,Surface,"Halliburton Energy Services, Inc.",Barite Barium Ore,5.0,25000.0,5000,medium,-116.943333,40.637222,barite,controlled_keyword,Barium sulfate mining for drilling mud
20,2600412,DUNPHY MILL,NV,Active,Facility,"Halliburton Energy Services, Inc.",Barite Barium Ore,5.0,25000.0,5000,medium,-116.526667,40.708611,barite,controlled_keyword,Barium sulfate mining for drilling mud
21,4105175,Corpus Processing Facility,TX,Active,Facility,Superior Weighting Products LLC,Barite Barium Ore,5.0,25000.0,5000,medium,-97.393611,27.828611,barite,controlled_keyword,Barium sulfate mining for drilling mud
22,2600411,Greystone Mine ,NV,Active,Surface,M-I Swaco- A Schlumberger Company,Barite Barium Ore,2.0,10000.0,5000,medium,-116.879722,40.270556,barite,controlled_keyword,Barium sulfate mining for drilling mud
23,1601357,MORGAN CITY GRINDING PLANT,LA,Active,Facility,Baker Hughes Oilfield Operations LLC,Barite Barium Ore,2.0,10000.0,5000,medium,-91.208333,29.692222,barite,controlled_keyword,Barium sulfate mining for drilling mud
24,4609653,Moundsville Plant,WV,Active,Facility,ADO Industries Inc.,Barite Barium Ore,2.0,10000.0,5000,medium,-80.820278,39.834444,barite,controlled_keyword,Barium sulfate mining for drilling mud
