rank,mine_id,mine_name,state,status,mine_type,operator,primary_sic,employees,estimated_annual_production_mt,production_factor_mt_per_employee,confidence_level,longitude,latitude,metal,verification_method,verification_notes
1,200024,Freeport-McMoRan Morenci Inc.,AZ,Active,Surface,Freeport-McMoRan Morenci Inc.,Copper Ore NEC,5870.0,20545000.0,3500,high,-109.335,33.063333,copper,exact_sic,Major copper mining operations
2,200137,Freeport-McMoRan Bagdad Inc ,AZ,Active,Surface,Freeport-McMoRan Bagdad Inc,Copper Ore NEC,1600.0,5600000.0,3500,high,-113.168611,34.594722,copper,exact_sic,Major copper mining operations
3,200144,Freeport-McMoRan Sierrita Ops. ,AZ,Active,Surface,Freeport-McMoRan Sierrita Ops.,Copper Ore NEC,1074.0,3759000.0,3500,high,-109.335,33.062778,copper,exact_sic,Major copper mining operations
4,203131,Freeport-McMoRan Safford Inc,AZ,Active,Surface,Freeport-McMoRan Safford Inc,Copper Ore NEC,1071.0,3748500.0,3500,high,-109.701111,32.955278,copper,exact_sic,Major copper mining operations
5,4200149,Bingham Canyon Mine,UT,Active,Surface,Kennecott Utah Copper LLC,Copper Ore NEC,876.0,3066000.0,3500,high,-112.091111,40.560556,copper,exact_sic,Major copper mining operations
6,200150,RAY MINE ,AZ,Active,Surface,Asarco LLC,Copper Ore NEC,630.0,2205000.0,3500,high,-110.988333,33.176667,copper,exact_sic,Major copper mining operations
7,2601916,Robinson Operation,NV,Active,Surface,Robinson Nevada Mining Company,Copper Ore NEC,612.0,2142000.0,3500,high,-115.014167,39.255,copper,exact_sic,Major copper mining operations
8,201049,Pinto Valley Mine,AZ,Active,Surface,Pinto Valley Mining Corp.,Copper Ore NEC,600.0,2100000.0,3500,high,-110.971111,33.393333,copper,exact_sic,Major copper mining operations
9,2900159,TYRONE MINE,NM,Active,Surface,Freeport-McMoRan Tyrone Inc,Copper Ore NEC,585.0,2047500.0,3500,high,-108.3625,32.6525,copper,exact_sic,Major copper mining operations
10,200135,MISSION/SAN XAVIER/EISENHOWER,AZ,Active,Surface,"ASARCO LLC, a Delaware Limited Liability Company",Copper Ore NEC,447.0,1564500.0,3500,high,-111.0525,31.998333,copper,exact_sic,Major copper mining operations
11,2400338,Continental Mine,MT,Active,Surface,"Montana Resources, LLC",Copper Ore NEC,388.0,1358000.0,3500,high,-112.5225,46.013056,copper,exact_sic,Major copper mining operations
12,2900708,Chino Mines Co Mine,NM,Active,Surface,Freeport-McMoRan Chino Mines Company,Copper Ore NEC,322.0,1127000.0,3500,high,-108.084444,32.789722,copper,exact_sic,Major copper mining operations
13,4201996,Copperton Concentrator ,UT,Active,Facility,Rio Tinto Kennecott Copper LLC,Copper Ore NEC,233.0,815500.0,3500,high,-112.155833,40.550278,copper,exact_sic,Major copper mining operations
14,2300409,Fletcher Mine and Mill,MO,Active,Underground,The Doe Run Company,Lead-Zinc Ore,189.0,661500.0,3500,high,-91.109167,37.466389,copper,exact_sic,Major copper mining operations
15,200134,Silver Bell Mining LLC,AZ,Active,Surface,"ASARCO LLC, a Delaware Limited Liability Company",Copper Ore NEC,182.0,637000.0,3500,high,-111.099167,31.877778,copper,exact_sic,Major copper mining operations
