rank,mine_id,mine_name,state,status,mine_type,operator,primary_sic,employees,estimated_annual_production_mt,production_factor_mt_per_employee,confidence_level,longitude,latitude,metal,verification_method,verification_notes
1,2600680,Colado Plant,NV,Active,Surface,"U.S. Silica Company, LLC",Diatomaceous Earth (Diatomite),140.0,630000.0,4500,medium,-118.391111,40.244444,silicon,controlled_keyword,High-purity silica and silicon production
2,1101578,Wedron Plant,IL,Active,Surface,Wedron Silica LLC,"Sand, Industrial NEC",140.0,630000.0,4500,medium,-88.774444,41.436944,silicon,controlled_keyword,High-purity silica and silicon production
3,203270,"Silica Services Mining, LLC",AZ,Active,Surface,"Silica Services Mining, LLC","Sand, Industrial NEC",130.0,585000.0,4500,medium,-109.333611,35.216389,silicon,controlled_keyword,High-purity silica and silicon production
4,4105320,Alpine Silica-Monahans,TX,Active,Surface,Alpine Silica LLC,Construction Sand and Gravel,130.0,585000.0,4500,medium,-102.7575,31.645278,silicon,controlled_keyword,High-purity silica and silicon production
5,1101013,Ottawa Plant,IL,Active,Surface,U. S. Silica Company,Ground Silica,124.0,558000.0,4500,medium,-88.865,41.346667,silicon,controlled_keyword,High-purity silica and silicon production
6,2200415,EP Engineered Clays Corporation,MS,Active,Facility,"U.S. Silica Company, LLC","Clay, Ceramic, Refractory Mnls.",122.0,549000.0,4500,medium,-90.207778,32.268333,silicon,controlled_keyword,High-purity silica and silicon production
7,4105317,Signal Peak Silica of Atascosa,TX,Active,Surface,"SP Silica of Atascosa, LLC","Sand, Industrial NEC",99.0,445500.0,4500,medium,-98.590278,29.151944,silicon,controlled_keyword,High-purity silica and silicon production
8,4002968,Middleton Operations,TN,Active,Surface,"U.S. Silica Company, LLC",Common Clays NEC,90.0,405000.0,4500,medium,-88.890833,35.064444,silicon,controlled_keyword,High-purity silica and silicon production
9,4105331,Crane County Plant,TX,Active,Surface,U.S. Silica Energy Company,"Sand, Industrial NEC",85.0,382500.0,4500,medium,-102.690278,31.603056,silicon,controlled_keyword,High-purity silica and silicon production
10,3100354,Plant #1,NC,Active,Facility,The Quartz Corp USA,Feldspar,77.0,346500.0,4500,medium,-82.060556,35.905556,silicon,controlled_keyword,High-purity silica and silicon production
11,4105309,Alpine Silica-Kermit,TX,Active,Surface,"Alpine Silica, LLC","Sand, Common",75.0,337500.0,4500,medium,-103.116667,31.915556,silicon,controlled_keyword,High-purity silica and silicon production
12,3402178,Signal Peak Silica of Oakwood,OK,Active,Surface,"SP Silica of Oakwood, LLC","Sand, Common",71.0,319500.0,4500,medium,-98.665556,35.901389,silicon,controlled_keyword,High-purity silica and silicon production
13,4602805,Berkeley Plant,WV,Active,Surface,"U.S. Silica Company, LLC",Ground Silica,68.0,306000.0,4500,medium,-78.21,39.657778,silicon,controlled_keyword,High-purity silica and silicon production
14,3100375,Schoolhouse Quartz Plant,NC,Active,Surface,Sibelco North America Inc.,"Quartz, Crystal",66.0,297000.0,4500,medium,-82.004444,35.946667,silicon,controlled_keyword,High-purity silica and silicon production
15,1601573,Hat Creek ,LA,Active,Surface,"Alpine Silica, LLC","Sand, Common",65.0,292500.0,4500,medium,-93.738611,32.604167,silicon,controlled_keyword,High-purity silica and silicon production
16,4105363,Lamesa Plant,TX,Active,Surface,U.S. Silica Energy Company,Construction Sand and Gravel,65.0,292500.0,4500,medium,-102.125278,32.806389,silicon,controlled_keyword,High-purity silica and silicon production
17,2600677,Clark Operations ,NV,Active,Surface,"U.S. Silica Company, LLC",Diatomaceous Earth (Diatomite),62.0,279000.0,4500,medium,-119.480833,39.564167,silicon,controlled_keyword,High-purity silica and silicon production
18,4202700,RHEX Vernal Mine,UT,Active,Surface,Ramsey Hill Exploration L.L.C.,Ground Silica,62.0,279000.0,4500,medium,-109.485833,40.573056,silicon,controlled_keyword,High-purity silica and silicon production
19,302065,River Ridge,AR,Active,Surface,"Alpine Silica, LLC","Sand, Common",60.0,270000.0,4500,medium,-93.855278,33.058889,silicon,controlled_keyword,High-purity silica and silicon production
20,3101334,K-T Feldspar Plant and Mine,NC,Active,Facility,The Quartz Corp USA,Feldspar,60.0,270000.0,4500,medium,-82.090833,35.928611,silicon,controlled_keyword,High-purity silica and silicon production
21,2601950,Fernley Operations,NV,Active,Surface,"U.S. Silica Company, LLC",Diatomaceous Earth (Diatomite),57.0,256500.0,4500,medium,-118.972222,39.828889,silicon,controlled_keyword,High-purity silica and silicon production
22,3800138,COLUMBIA PLANT,SC,Active,Surface,u s silica company,"Sand, Industrial NEC",55.0,247500.0,4500,medium,-81.165,33.887222,silicon,controlled_keyword,High-purity silica and silicon production
23,3503236,Celatom Plant,OR,Active,Facility,"U.S. Silica Company, LLC",Diatomaceous Earth (Diatomite),53.0,238500.0,4500,medium,-117.365556,43.946389,silicon,controlled_keyword,High-purity silica and silicon production
24,4002964,Little Six Corp. dba Short Mtn Silica,TN,Active,Surface,Short Mountain Silica Company,"Crushed, Broken Sandstone",52.0,234000.0,4500,medium,-83.185,36.359722,silicon,controlled_keyword,High-purity silica and silicon production
25,4105699,Signal Peak Silica of Carrizo,TX,Active,Surface,"SP Silica of Carrizo, LLC","Sand, Common",50.0,225000.0,4500,medium,-99.884542,28.479769,silicon,controlled_keyword,High-purity silica and silicon production
26,3603122,Mapleton Depot Plant ,PA,Active,Surface,"U.S. Silica Company, LLC","Sand, Industrial NEC",44.0,198000.0,4500,medium,-77.935556,40.408056,silicon,controlled_keyword,High-purity silica and silicon production
27,3101518,Marston Plant,NC,Active,Surface,Covia Solutions LLC,Ground Silica,43.0,193500.0,4500,medium,-79.592222,34.938611,silicon,controlled_keyword,High-purity silica and silicon production
28,2300544,Pacific Plant ,MO,Active,Surface,"U.S. Silica Company, LLC","Quartz, Ground",41.0,184500.0,4500,medium,-90.724444,38.483889,silicon,controlled_keyword,High-purity silica and silicon production
29,4500983,Lane Mtn Silica Quarry & Mill,WA,Active,Surface,Lane Mt. Silica Co.,Ground Silica,39.0,175500.0,4500,medium,-117.744167,48.131111,silicon,controlled_keyword,High-purity silica and silicon production
30,2600390,Simplot Mill & Pit #1,NV,Active,Surface,Simplot Silica Prods,"Crushed, Broken Sandstone",38.0,171000.0,4500,medium,-114.430556,36.515833,silicon,controlled_keyword,High-purity silica and silicon production
31,3300015,Best Sand - Chardon,OH,Active,Surface,Best Sand Corporation,Ground Silica,37.0,166500.0,4500,medium,-81.195278,41.545278,silicon,controlled_keyword,High-purity silica and silicon production
32,2600672,Colado Mine,NV,Active,Surface,"U.S. Silica Company, LLC",Diatomaceous Earth (Diatomite),36.0,162000.0,4500,medium,-118.731111,40.282778,silicon,controlled_keyword,High-purity silica and silicon production
33,3400836,Mill Creek Plant #39,OK,Active,Surface,"U.S. Silica Company, LLC","Crushed, Broken Sandstone",34.0,153000.0,4500,medium,-96.826389,34.404167,silicon,controlled_keyword,High-purity silica and silicon production
34,2800526,Mauricetown Plant ,NJ,Active,Surface,"U.S. Silica Company, LLC","Sand, Industrial NEC",33.0,148500.0,4500,medium,-75.004722,39.284444,silicon,controlled_keyword,High-purity silica and silicon production
35,3100718,Drowning Creek Dredge & Plant,NC,Active,Facility,Southern Products and Silica Company,"Sand, Industrial NEC",30.0,135000.0,4500,medium,-78.482222,36.066389,silicon,controlled_keyword,High-purity silica and silicon production
36,4703742,AMI Silica LLC,WI,Active,Surface,AMI Silica LLC,"Sand, Industrial NEC",30.0,135000.0,4500,medium,-91.058333,44.381389,silicon,controlled_keyword,High-purity silica and silicon production
37,405879,Sierra Silica Resources,CA,Active,Surface,"Industrial Silica Products, LLC","Sand, Industrial NEC",30.0,135000.0,4500,medium,-121.566389,39.476389,silicon,controlled_keyword,High-purity silica and silicon production
38,901232,Millen Plant,GA,Active,Facility,US Silica Company,Kaolin and Ball Clay,28.0,126000.0,4500,medium,-81.899444,32.755556,silicon,controlled_keyword,High-purity silica and silicon production
39,4402829,Montpelier Plant,VA,Active,Surface,"U.S. Silica Company, LLC",Aplite,27.0,121500.0,4500,medium,-77.745,37.790556,silicon,controlled_keyword,High-purity silica and silicon production
